,car_brand,carprice,kms_driven,fuel_type,city,year_of_manufacture
391,Hyundai,349000.0,75619.0,Petrol,Chennai,2014
392,Hyundai,245000.00000000003,54000.0,Petrol,Kolkata,2013
393,Nissan,295000.0,58000.0,Petrol,Noida,2012
394,Jeep,6500000.0,27340.0,Petrol,Hyderabad,2021
395,Maruti,630000.0,17000.0,Petrol,Pallikarnai,2020
396,Volkswagen,790000.0,111139.0,Diesel,Mumbai,2018
397,Hyundai,1875000.0,40916.0,Diesel,Pune,2018
398,Honda,950000.0,120463.0,Diesel,Thiruvallur,2018
399,Honda,799000.0,94197.0,Diesel,Thane,2017
400,Maruti,424000.0,76859.0,Petrol,Pune,2014
401,Honda,725000.0,33000.0,Petrol,Ahmedabad,2017
402,Maruti,596000.0,17286.0,Petrol,Kolkata,2018
403,Mercedes-Benz,2850000.0,40484.0,Diesel,Bangalore,2017
404,Tata,540000.0,70450.0,Diesel,Ahmedabad,2020
405,Honda,840000.0,45074.0,Petrol,Kolkata,2019
406,Hyundai,695000.0,101000.0,Diesel,Thane,2015
407,BMW,5900000.0,22000.0,Petrol,Ahmedabad,2016
408,Hyundai,345000.0,69000.0,Petrol,Mumbai,2012
409,Maruti,696000.0,14895.0,Petrol,Pune,2018
410,Tata,810000.0,11444.0,eco_fuel,Delhi,2022
411,Tata,413999.99999999994,32120.0,Petrol,Delhi,2018
412,Toyota,3300000.0,64300.0,Diesel,Ahmedabad,2019
413,Tata,2200000.0,30503.0,Diesel,Thane,2021
414,Honda,825000.0,62042.0,Petrol,Ahmedabad,2019
415,Mahindra,745000.0,122924.0,Diesel,Hyderabad,2017
416,Ford,690000.0,37000.0,Petrol,Ahmedabad,2016
417,Skoda,1925000.0,23402.0,Petrol,Bangalore,2021
418,Audi,1725000.0,35000.0,Petrol,Mumbai,2015
419,Hyundai,639000.0,38657.0,Petrol,Pune,2017
420,Maruti,445000.0,64000.0,Petrol,Hyderabad,2016
421,Hyundai,509999.99999999994,35094.0,Petrol,Pune,2018
422,Toyota,730000.0,18000.0,Petrol,Thiruvallur,2021
423,Nissan,670000.0,18503.0,Petrol,Pune,2021
424,Ford,825000.0,30000.0,Petrol,Delhi,2018
425,Honda,842000.0,33197.0,Petrol,Chennai,2020
426,Land,7700000.0,39800.0,Petrol,Thane,2019
427,Ford,690000.0,83000.0,Diesel,Ahmedabad,2016
428,BMW,3600000.0,3600000.0,Diesel,Pune,2019
429,Maruti,715000.0,24783.0,Petrol,Kolkata,2021
430,Maruti,815000.0,55000.0,Diesel,Thane,2017
431,Hyundai,554000.0,11844.0,Petrol,Pune,2019
432,Jeep,1695000.0,37430.0,Diesel,Hyderabad,2017
433,Mahindra,878999.9999999999,81682.0,Diesel,Bangalore,2013
434,Hyundai,490000.00000000006,32700.0,Petrol,Ahmedabad,2014
435,Honda,1019000.0,23795.0,Petrol,Chennai,2021
436,Maruti,518000.0,37188.0,Petrol,Pune,2015
437,Maruti,379000.0,27044.0,Petrol,Bangalore,2017
438,Hyundai,660000.0,52451.0,Diesel,Hyderabad,2016
439,MG,1648999.9999999998,35200.0,Petrol,Bangalore,2020
